5/4/2014,5/5/2014,5/6/2014,5/7/2014,5/8/2014,5/9/2014,5/10/2014
-1,-0.9937062319,-1,-1,-0.9945447208,0.2117281922,-1
-1,-0.9921429029,-1,-1,-0.9822952823,0.2352546226,-1
-1,-0.990724443,-1,-1,-0.9679736505,0.2582958519,-1
-1,-0.9894010379,-1,-1,-0.9513637903,0.2816594355,-1
-1,-0.9881705434,-1,-1,-0.9331642763,0.3055639613,-1
-1,-0.9870168074,-1,-1,-0.9135532587,0.3298564551,-1
-1,-0.9863060409,-1,-1,-0.8932430766,0.354320624,-1
-1,-0.9860669746,-1,-1,-0.8717031463,0.3781925352,-1
-1,-0.9855590391,-1,-1,-0.8486843981,0.4021698212,-1
-1,-0.9846945412,-1,-1,-0.8241701837,0.4264678673,-1
-1,-0.9838689943,-1,-1,-0.7973876665,0.450923486,-1
-1,-0.9832751522,-1,-1,-0.7687705552,0.4749714789,-1
-1,-0.984012434,-1,-1,-0.7380428414,0.498196177,-1
-1,-0.9850453861,-1,-1,-0.7062901408,0.5204662158,-1
-1,-0.9859767083,-1,-1,-0.674998481,0.5423885458,-1
-1,-0.9868644339,-1,-1,-0.6443696085,0.5646121133,-1
-1,-0.9876966275,-1,-1,-0.6137077671,0.5868071708,-1
-1,-0.9884799359,-1,-1,-0.581841412,0.608479498,-1
-1,-0.9892122863,-1,-1,-0.5493515637,0.6290071554,-1
-1,-0.9898957514,-1,-1,-0.5174608589,0.6490089153,-1
-1,-0.9905381929,-1,-1,-0.4859876733,0.6679554233,-1
-1,-0.9911381098,-1,-1,-0.2852317602,0.6865090692,-1
-1,-0.9916970032,-1,-1,-0.1278037287,0.7041633235,-1
-1,-0.9922234493,-1,-1,-0.019411383,0.7210561653,-1
-1,-0.9534755565,-1,-1,0.0360626899,0.737579328,-1
-1,-0.9548075039,-1,-1.0000146744,0.0470732448,0.7536970008,-1
-1,-0.9576769773,-1,-1,0.0599470655,0.7693044849,-1
-1,-0.9603707352,-1,-1,0.0735692051,0.7839729919,-1
-1,-0.9628789243,-1,-1,0.088950079,0.7975549362,-1
-1,-0.9652317885,-1,-1,0.1052832344,0.810458737,-1
-1,-0.9674418496,-1,-1,0.1227755875,0.8225306809,-1
-1,-0.9695069865,-1,-1,0.1414532495,0.8336192043,-1
-1,-0.9714503267,-1,-1,0.161089764,0.8438247582,-1
-1,-0.9732612644,-1,-1,0.1816088531,0.8522578267,-1
-1,-0.9749557427,-1,-1,0.2032436921,0.8595670386,-1
-1,-0.9765451885,-1,-1,0.2258023006,0.8646540199,-1
-1,-0.9780365127,-1,-1,0.2492574777,0.8672708289,-1
-1,-0.9794287575,-1,-1.0000139271,0.2732426322,0.8672919823,-1
-1,-0.9807275336,-1,-1,0.2969794218,0.8644647499,-1
-0.9988657324,-0.9819502895,-1,-1,0.3211677483,0.8587067384,-1
-0.9940849896,-0.9830995568,-1,-1,0.3463074878,0.8504560303,-1
-0.9886677235,-0.984174583,-1,-1,0.3719123975,0.8398149973,-1
