REFERENCE POINT,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes,Variance
/Devices/Shirley-MA/South/Inverters/1/Control/Power_Factor_Setpoint,Inverters.1.Control.Power_Factor_Setpoint,,,>h,TRUE,40649,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/South/Inverters/1/Device/CommSt,Inverters.1.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/South/Inverters/1/Meter/A,Inverters.1.Meter.A,A,,>h,FALSE,40132,,Total AC Current,
/Devices/Shirley-MA/South/Inverters/1/Meter/AphA,Inverters.1.Meter.AphA,A,,>h,FALSE,40133,,Phase A Current,
/Devices/Shirley-MA/South/Inverters/1/Meter/AphB,Inverters.1.Meter.AphB,A,,>h,FALSE,40134,,Phase B Current,
/Devices/Shirley-MA/South/Inverters/1/Meter/AphC,Inverters.1.Meter.AphC,A,,>h,FALSE,40135,,Phase C Current,
/Devices/Shirley-MA/South/Inverters/1/Meter/PhV,Inverters.1.Meter.PhV,V,,>h,FALSE,40137,,Line to Neutral AC Voltage (average of active phases),
/Devices/Shirley-MA/South/Inverters/1/Meter/PhVphA,Inverters.1.Meter.PhVphA,V,,>h,FALSE,40138,,Phase Voltage AN,
/Devices/Shirley-MA/South/Inverters/1/Meter/PhVphB,Inverters.1.Meter.PhVphB,V,,>h,FALSE,40139,,Phase Voltage BN,
/Devices/Shirley-MA/South/Inverters/1/Meter/PhVphC,Inverters.1.Meter.PhVphC,V,,>h,FALSE,40140,,Phase Voltage CN,
/Devices/Shirley-MA/South/Inverters/1/Meter/PPV,Inverters.1.Meter.PPV,V,,>h,FALSE,40141,,Line to Line AC Voltage (average of active phases),
/Devices/Shirley-MA/South/Inverters/1/Meter/Hz,Inverters.1.Meter.Hz,Hz,,>h,FALSE,40146,,Frequency,
/Devices/Shirley-MA/South/Inverters/1/Meter/W,Inverters.1.Meter.W,W,,>h,FALSE,40148,,Total Real Power,
/Devices/Shirley-MA/South/Inverters/1/Meter/WphA,Inverters.1.Meter.WphA,W,,>h,FALSE,40149,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/WphB,Inverters.1.Meter.WphB,W,,>h,FALSE,40150,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/WphC,Inverters.1.Meter.WphC,W,,>h,FALSE,40151,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/W_SF,Inverters.1.Meter.W_SF,,,>H,FALSE,40152,,Real Power scale factor,
/Devices/Shirley-MA/South/Inverters/1/Meter/VA,Inverters.1.Meter.VA,VA,,>h,FALSE,40153,,AC Apparent Power,
/Devices/Shirley-MA/South/Inverters/1/Meter/VAphA,Inverters.1.Meter.VAphA,VA,,>h,FALSE,40154,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/VAphB,Inverters.1.Meter.VAphB,VA,,>h,FALSE,40155,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/VAphC,Inverters.1.Meter.VAphC,VA,,>h,FALSE,40156,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/VA_SF,Inverters.1.Meter.VA_SF,,,>H,FALSE,40157,,Apparent Power scale factor,
/Devices/Shirley-MA/South/Inverters/1/Meter/VAR,Inverters.1.Meter.VAR,var,,>h,FALSE,40158,,Reactive Power,
/Devices/Shirley-MA/South/Inverters/1/Meter/VARphA,Inverters.1.Meter.VARphA,var,,>h,FALSE,40159,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/VARphB,Inverters.1.Meter.VARphB,var,,>h,FALSE,40160,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/VARphC,Inverters.1.Meter.VARphC,var,,>h,FALSE,40161,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/PF,Inverters.1.Meter.PF,Pct,,>h,FALSE,40163,,Power Factor,
/Devices/Shirley-MA/South/Inverters/1/Meter/PFphA,Inverters.1.Meter.PFphA,Pct,,>h,FALSE,40164,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/PFphB,Inverters.1.Meter.PFphB,Pct,,>h,FALSE,40165,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/PFphC,Inverters.1.Meter.PFphC,Pct,,>h,FALSE,40166,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/PF_SF,Inverters.1.Meter.PF_SF,,,>H,FALSE,40167,,Power Factor scale factor,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhExp,Inverters.1.Meter.TotWhExp,Wh,,>I,FALSE,40168,,Total Real Energy Exported,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhExpPhA,Inverters.1.Meter.TotWhExpPhA,Wh,,>I,FALSE,40170,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhExpPhB,Inverters.1.Meter.TotWhExpPhB,Wh,,>I,FALSE,40172,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhExpPhC,Inverters.1.Meter.TotWhExpPhC,Wh,,>I,FALSE,40174,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhImp,Inverters.1.Meter.TotWhImp,Wh,,>I,FALSE,40176,,Total Real Energy Imported,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhImpPhA,Inverters.1.Meter.TotWhImpPhA,Wh,,>I,FALSE,40178,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhImpPhB,Inverters.1.Meter.TotWhImpPhB,Wh,,>I,FALSE,40180,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhImpPhC,Inverters.1.Meter.TotWhImpPhC,Wh,,>I,FALSE,40182,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWH_SF,Inverters.1.Meter.TotWH_SF,,,>H,FALSE,40184,,Real Energy scale factor,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhExp,Inverters.1.Meter.TotVAhExp,VAh,,>I,FALSE,40185,,Total Apparent Energy Exported,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhExpPhA,Inverters.1.Meter.TotVAhExpPhA,VAh,,>I,FALSE,40187,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhExpPhB,Inverters.1.Meter.TotVAhExpPhB,VAh,,>I,FALSE,40189,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhExpPhC,Inverters.1.Meter.TotVAhExpPhC,VAh,,>I,FALSE,40191,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhImp,Inverters.1.Meter.TotVAhImp,VAh,,>I,FALSE,40193,,Total Apparent Energy Imported,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhImpPhA,Inverters.1.Meter.TotVAhImpPhA,VAh,,>I,FALSE,40195,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhImpPhB,Inverters.1.Meter.TotVAhImpPhB,VAh,,>I,FALSE,40197,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhImpPhC,Inverters.1.Meter.TotVAhImpPhC,VAh,,>I,FALSE,40199,,,
