REFERENCE POINT,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes,Variance
/Devices/Shirley-MA/North/Meter/TotVArhExpQ3PhB,Meter.TotVArhExpQ3PhB,varh,,>I,FALSE,40222,,,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ3PhC,Meter.TotVArhExpQ3PhC,varh,,>I,FALSE,40224,,,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ4,Meter.TotVArhExpQ4,varh,,>I,FALSE,40226,,Total Reactive Power Exported Quadrant 4,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ4PhA,Meter.TotVArhExpQ4PhA,varh,,>I,FALSE,40228,,,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ4PhB,Meter.TotVArhExpQ4PhB,varh,,>I,FALSE,40230,,,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ4PhC,Meter.TotVArhExpQ4PhC,varh,,>I,FALSE,40232,,,
/Devices/Shirley-MA/North/Meter/VAr_SF,Meter.VAr_SF,,,>H,FALSE,40162,,Reactive Power scale factor,
/Devices/Shirley-MA/North/Meter/Evt,Meter.Evt,,,>I,FALSE,40235,,Meter Event Flags,
/Devices/Shirley-MA/North/PMC/Device/CommSt,PMC.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/North/PMC/PmcSystemGuard/GSHeartBeat,PMC.PmcSystemGuard.GSHeartBeat,,,>H,FALSE,40485,,Counter.  Updated Every 10 seconds.  Resets daily.,
/Devices/Shirley-MA/North/PMC/PmcSystemGuard/PMCWatchDog,PMC.PmcSystemGuard.PMCWatchDog,,,>H,TRUE,40486,,Must be kicked every 100 seconds or PMC will go into Auto Mode.,
/Devices/Shirley-MA/North/Recloser/Device/CommSt,Recloser.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/North/Weather/BaseMet/TmpAmb,Weather.BaseMet.TmpAmb,C,,>h,FALSE,40464,,Ambient Temperature,
/Devices/Shirley-MA/North/Weather/BaseMet/RH,Weather.BaseMet.RH,Pct,,>h,FALSE,40465,,Relative Humidity,
/Devices/Shirley-MA/North/Weather/BaseMet/Pres,Weather.BaseMet.Pres,HPa,,>h,FALSE,40466,,Barometric Pressure,
/Devices/Shirley-MA/North/Weather/BaseMet/WndSpd,Weather.BaseMet.WndSpd,mps,,>h,FALSE,40467,,Wind Speed,
/Devices/Shirley-MA/North/Weather/BaseMet/WndDir,Weather.BaseMet.WndDir,deg,,>h,FALSE,40468,,Wind Direction,
/Devices/Shirley-MA/North/Weather/Device/CommSt,Weather.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/North/Weather/Irradiance/GHI,Weather.Irradiance.GHI,W/m2,,>H,FALSE,40453,,Global Horizontal Irradiance,
/Devices/Shirley-MA/North/Weather/Irradiance/POAI,Weather.Irradiance.POAI,W/m2,,>H,FALSE,40454,,Plane-of-Array Irradiance,
/Devices/Shirley-MA/North/Weather/Irradiance/DFI,Weather.Irradiance.DFI,W/m2,,>H,FALSE,40455,,Diffuse Irradiance,
/Devices/Shirley-MA/North/Weather/Irradiance/DNI,Weather.Irradiance.DNI,W/m2,,>H,FALSE,40456,,Direct Normal Irradiance,
/Devices/Shirley-MA/North/Weather/Irradiance/OTI,Weather.Irradiance.OTI,W/m2,,>H,FALSE,40457,,Other Irradiance,
/Devices/Shirley-MA/North/XferRelay/Device/CommSt,XferRelay.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
